dataset,refined_question,relevant_column,results,ground_truth,task,difficulty
Lung Cancer Survey Dataset,Does there appear to be an interaction between gender and the experience of peer pressure related to smoking?,"[{""column_header"": ""GENDER"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""PEER_PRESSURE"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""GENDER"", ""PEER_PRESSURE""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
Student Performance Prediction Dataset,Is there evidence of a relationship between parents' cohabitation status (living together or apart) and students' participation in extra-curricular activities in the data?,"[{""column_header"": ""Pstatus"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""activities"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0136}"", ""conclusion"": ""Not independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.01181}"", ""conclusion"": ""Not independent""}]","{""columns"": [""Pstatus"", ""activities""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
FIFA Official Dataset 2023,Is the variability in player weight comparable to that of the release clause value?,"[{""column_header"": ""Weight"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Release Clause"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 1569.32197, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Weight"", ""Release Clause""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Obesity or CVD Risk Dataset,Does a noticeable pattern exist in the association between gender and the mode of transportation utilized?,"[{""column_header"": ""Gender"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""MTRANS"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""Gender"", ""MTRANS""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Lung Cancer Survey Dataset,Is there any evidence to suggest a connection between the presence of symptoms related to difficulty swallowing and the presence of symptoms related to chest pain?,"[{""column_header"": ""SWALLOWING DIFFICULTY"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""CHEST PAIN"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.27192}"", ""conclusion"": ""Independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.25179}"", ""conclusion"": ""Independent""}]","{""columns"": [""SWALLOWING DIFFICULTY"", ""CHEST PAIN""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
Exercise and Fitness Metrics Dataset,Do Calories Burn and Heart Rate exhibit similar variance characteristics?,"[{""column_header"": ""Calories Burn"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Heart Rate"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 15.14986, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 7172.04012, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Calories Burn"", ""Heart Rate""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Bank Customer Churn Prediction Dataset,Does the bank customer's location or country determine whether they have left the bank?,"[{""column_header"": ""Geography"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Exited"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""Geography"", ""Exited""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Income and Happiness Score Dataset,Is there statistical evidence to suggest that the distributions of self-reported happiness scores (measured by standard deviation) and individual income (measured by median income) are indistinguishable?,"[{""column_header"": ""std_satisfaction"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""median_income"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""std_satisfaction"", ""median_income""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
US Christmas Tree Sales Dataset,What is the strength of the correlation between the number of Christmas trees purchased and the mean price at which each tree is sold?,"[{""column_header"": ""Number of trees sold"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Average Tree Price"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.42857}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Number of trees sold"", ""Average Tree Price""], ""methods"": [""Kendall Correlation Coefficient""]}",Correlation Analysis,hard
Student Performance Prediction Dataset,Is there a relationship between the levels of mother's education and the first period grades (G1)?,"[{""column_header"": ""Medu"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""G1"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.26047}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.2764}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.21814}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Medu"", ""G1""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Used Car Dataset,"Are the data distributions for total kilometers driven by the car and the car's mileage (in kilometers per liter, kmpl) statistically indistinguishable?","[{""column_header"": ""kms_driven"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""mileage(kmpl)"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""kms_driven"", ""mileage(kmpl)""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Terrorist Attacks Dataset,"How wide is the range of values for the variable ""Number of deaths of individuals aged between 11 and 20""?","[{""column_header"": ""Death Age : 11-20 "", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Range"", ""result"": ""522.0"", ""conclusion"": ""522.0""}]","{""columns"": [""Death Age : 11-20 ""], ""methods"": [""Range""]}",Descriptive Statistics,easy
Customer Personality Analysis Dataset,What is the strength of the correlation between the number of days since a customer's last purchase (Recency) and the amount spent on fruits in the last 2 years (MntFruits)?,"[{""column_header"": ""Recency"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""MntFruits"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.00431}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.0253}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.01706}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Recency"", ""MntFruits""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Crop Production Dataset,Do the annual crop production in Nigeria and India follow similar distribution curves?,"[{""column_header"": ""Nigeria"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""India"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.02857}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""Nigeria"", ""India""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Lung Cancer Survey Dataset,Is there a significant variation in the impact of WHEEZING on SHORTNESS OF BREATH when considering the presence of ANXIETY symptoms?,"[{""column_header"": ""WHEEZING"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""SHORTNESS OF BREATH"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""ANXIETY"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.85429}"", ""conclusion"": ""Independent""}]","{""columns"": [""WHEEZING"", ""SHORTNESS OF BREATH"", ""ANXIETY""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
Los Angeles Library Monthly Statistics,What is the strength of the correlation between the total number of library visitors and the number of homeless individuals served at The Source?,"[{""column_header"": ""Total Library Visitors"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""# of Homeless Individuals Served at The Source"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.68409}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.62567}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.47348}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Total Library Visitors"", ""# of Homeless Individuals Served at The Source""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Fruits and Vegetables Prices Dataset,What is the kurtosis level of retail prices in Atlanta?,"[{""column_header"": ""atlantaretail"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kurtosis"", ""result"": ""2.59578"", ""conclusion"": ""2.59578""}]","{""columns"": [""atlantaretail""], ""methods"": [""Kurtosis""]}",Descriptive Statistics,easy
Advertising Budget and Sales Dataset,Could the Exponential distribution provide an accurate representation of the data for the budget allocated for newspaper advertising?,"[{""column_header"": ""Newspaper Ad Budget ($)"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test for Exponential distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","{""columns"": [""Newspaper Ad Budget ($)""], ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]}",Distribution Compliance Test,easy
Heart Failure Prediction Dataset,Could you calculate the median value of serum cholesterol (measured in mm/dl)?,"[{""column_header"": ""Cholesterol"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Median"", ""result"": ""223.0"", ""conclusion"": ""223.0""}]","{""columns"": [""Cholesterol""], ""methods"": [""Median""]}",Descriptive Statistics,easy
Dataset for Admission in the University,"What is the level of kurtosis for the variable ""Letter of Recommendation"" - high or low?","[{""column_header"": ""LOR "", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kurtosis"", ""result"": ""-0.66248"", ""conclusion"": ""-0.66248""}]","{""columns"": [""LOR ""], ""methods"": [""Kurtosis""]}",Descriptive Statistics,easy
Obesity or CVD Risk Dataset,Is there a statistically significant difference in the distribution of the number of main meals (NCP) compared to daily water consumption (CH2O)?,"[{""column_header"": ""NCP"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""CH2O"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""NCP"", ""CH2O""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Heart Failure Prediction Dataset,Are the patterns observed in resting blood pressure similarly evident in serum cholesterol levels?,"[{""column_header"": ""RestingBP"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Cholesterol"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.10089}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.10948}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.07731}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""RestingBP"", ""Cholesterol""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
